"Beli serum ini gara"" liat review nya yg bgs"" bgt alhasil aku pun jd kepingin untuk cobain serum ini dan ternyataaa emang sebagusss itu sihh tekstur nya yang cair dan mudah menyerap jd nya dikulit oily yg kyk aku gini ga berat, serum nya udh aku habisin 1 botol dan selama pemakaian tersebut yg aku rasain minyak diwajah aku jd terkontrol dan ga oily bgt karna dia melembabkan dan jg di aku agak memudarkan bekas jerawat aku si cmn emng ga terlalu keliatan jd emng hrs dipake lebih rutin dan lebih lama lg biar lebih keliatan hasilnya, dan aku bakalan repurchase ini lg biar bsa liat ada perubahan atau ga setelahnya,intinya cinta bgt sma serum ini harga nya terjangkau plus produk lokal lagii";positif
beli di shopee, sempet was was kalo ga cocok tp ternyata cocok dooonggg, baguuuusssss banget malah, perlahan bisa ngilangin dark spot di wajah. jatucintalah sama somethinc niacinamide ini. ingin juga nyobain somethinc yg lainnya juga. repurce? OF COURSE 😍;positif
Sebenernya emang Somethinc udah jadi brand skincare yg disukai banyak beauty enthusiast tp aku telat gt sukanya. Ini serum niacinamide lokal yg cocok banget di aku ga ada breakout pas awal pemakaian dan seperti serum niacinamide aku sebelumnya, serum niacinamide dr Somethinc bikin kulit lembap tp juga membuat minyak pada kulit lebih terkontrol. Selain itu kalau digunakan secara rutin, noda hitam bekas jerawat bisa hilang nih guys! Buat pemilik kulit oily dan acne prone ini beneran serum niacinamide lokal paling bagus!;positif
Kayaknya mayoritas skincare junkie juga setuju yaa kalau serum niacinamide somethinc ini sangat bagus dan layak jadi holy grail. Teksturnya yang ringan dan sangat mudah meresap. Wajah jadi calming. Jerawat dan bruntusan mereda, bekas jerawat perlahan hilang dgn pemakaian rutin, harga affordable dan efek mencerahkan sangat terasa. Bahan kandungan serum ini pun nggak neko-neko. Aman banget buat kulitku yang oily dan gampang berjerawat. Melembapkan banget apalagi setelah pakai exfo toner atau serum.;positif
harga affordable, experience pas pake nggak kayak yg dibilang rangorang : susah nyerep dan lengket, mana dia suruh pake 5-10 tetes. kalo dipake sebanyak itu, kebanyakan d muka jadi nggak nyerep (even makenya dilayer nunggu tiap layer kering br ditambahin) dan meninggalkan putih2 kayak ada daki di wajah, kl dipake dikit, hasilnya nggak nampol. dan dia nggak bisa dipake sendiri. di aku, keliatan hasilnya setelah aku pake booster, entah deh yg ngefek ngurangin bekas jerawatnya tu si boosternya apa serum ini. kesimpulan setelah make 1 botol : produk ini kurang efisien karena harus didampingi sama produk lain buat keliatan hasilnya dan saran pemakaian serum 5-10 tetes itu aneh menurutku, it's too much. repurchase : big no :');negatif
kalo kalian punya bekas jerawat warna merah cus wajib banget pake ini, serum ini pelan2 bisa bantu pudari bekas jerawat atau jerawat yg lagi meradang kemerahan gitu serum ini bantu calming kan..tekturnya rada kental dan moisturizing juga;positif
Pertama kali pakai ini rasanya enak, muka jadi halus dan pori2 sepertinya sedikit mengecil. Tapi saat dibarengi pemakaiannya dg sleeping mask aku dari lacoco jadi keluar jerawat. Aku mau preloved serumnya baru dipake sedikit bgt. Aku jual 80rb harga di shopee somethinc 115rb. Nanti aku kasih gratis scrub st.ives apricot preloved punya ku juga. Sayang soalnya ga kepake. Cocok bgt buat kamu yg mau coba produk. Bisa langsung dm aku aja di instagram @syifu99;netral
Aku pake ini baru sekali langsung bruntusan dan kayanya memang aku gabisa pakai skincare yang kental bgt teksturnya. Padahal ini bikin lembab bgt kenyal pokonya enak bgt plump. Tp di jidat ku jd bruntusan. Aku mau preloved aja nih aku beli di beautyhaulindo (official nya somethinc, masih ada history nya nnt ku kirim screenshootnya dijamin ori☺️) dm aja ke ig @nadiafashaaa baru pakai bener2 satu kali bisa jamin masih full✌🏻;negatif
secintaaaaaaaaaa itu sama produk ini, setelah pake sebulanan muka lebih cerah, jerawat jadi jarang muncul, ngilangin kemerahan jugaa!!! kalo ada jerawat mateng juga ditotolin ini ngaruh banget jadi cepet kering. Teksturnya juga gak lengket samsek dimuka dan cepet nyerap juga;positif
Gatau kenapa aku ga cocok sama niamicide ini :( aku baca informasi kalau niamicide gabisa di pake barengan dengan vitamin C dan bisa menyebabkan kemerahan, kering, iritasi, sedangkan moisturizer ku hi vit C banget jadi waktu pake ini muka ku jadi kemerahan iritasi dan keluar jerawat kecil kecil kaya bruntusan gitu di jidat. Padahal baru beberapa tetes dan baru pake seminggu di malam hari aja, akhirnya aku preloved aja. Mungkin kalau pake niamicide dan ada product skin care yg vit C lebih baik di dipake jangan barengan ya guys daripada iritasi!;negatif
malem pertama make ini bsknya jerawat keluar, aku kira itu purging, jadi aku lanjutin aja, malah bikin beruntusan. sebenernya bener2 bikin muka cerah, pori2 lumayan mengecil. tapi aku memutuskan buat berhenti aja deh!;negatif
